fold,horizon,test_year,hash,config,model,strategy,NSE,KGE,HitRatio,FARate,FARatio,F1,Precision,Recall,n_extreme,PeakTiming_mean_lag,PeakTiming_mean_absolute_lag,PeakTiming_n_peaks,NSE_CI_lower,NSE_CI_upper,KGE_CI_lower,KGE_CI_upper,F1_CI_lower,F1_CI_upper,HitRatio_CI_lower,HitRatio_CI_upper,n_replicas,frac,mean_abs_deviation_from_baseline,mean_std_across_replicas,max_std_across_replicas,delta_hit_ratio,delta_farate,rf_branch_stability,seed,threshold_percentile
heuristic_ensemble_2023,48h,2023,c330caca3da1421a,heuristic_ensemble,baseline,expanding,-0.5164555286294199,0.1585010103331211,0.6129032258064516,0.2343234323432343,0.568,0.5775401069518716,0.432,0.8709677419354839,62.0,0.68,1.32,25.0,-1.268651520662353,-0.0899453735627098,-0.090478149629396,0.3099366528424436,0.4971157568718544,0.644808743169399,0.4917888984756974,0.721415943426551,,,,,,,,,92,90
M1_2017,48h,2017,453cf4f2b23a9c65,M1,seq2seq_base,expanding,0.3739104753859613,0.4246253380094775,0.0689655172413793,0.017910447761194,0.5,0.2926829268292683,0.5,0.2068965517241379,29.0,1.3333333333333333,1.8333333333333333,12.0,0.2318452601761172,0.5043575194151332,0.3170386480429109,0.5336367312848956,0.1052631578947368,0.4737986270022883,0.0,0.1818181818181818,,,,,,,,,92,90
M1_2018,48h,2018,e7282e335f8860a2,M1,seq2seq_base,expanding,0.210727508630159,0.3203493566447195,0.0454545454545454,0.0029239766081871,0.5,0.0833333333333333,0.5,0.0454545454545454,22.0,1.2666666666666666,1.933333333333333,15.0,0.0852347733255859,0.3347882552281146,0.180107351839704,0.4738421782380331,0.0,0.2502717391304348,0.0,0.1430357142857143,,,,,,,,,92,90
M1_2019,48h,2019,49498974a76555c9,M1,seq2seq_base,expanding,0.6434392016133879,0.6168198879222133,0.2558139534883721,0.0186335403726708,0.1875,0.6933333333333334,0.8125,0.6046511627906976,43.0,1.3125,1.9375,16.0,0.5349668194201724,0.734931996973709,0.528393771224962,0.7346159810313925,0.5787593984962406,0.8102681545636241,0.1320630585898709,0.4001063829787235,,,,,,,,,92,90
M1_2020,48h,2020,7d579f7df2e72e4f,M1,seq2seq_base,expanding,0.5576440942287408,0.5655130811508495,0.1489361702127659,0.0094637223974763,0.12,0.6111111111111112,0.88,0.4680851063829787,47.0,0.7,1.9,20.0,0.4333534387652411,0.6649311570333268,0.4445354878391015,0.674594218997618,0.4805944846292947,0.7189062500000001,0.0576136363636363,0.2501453488372093,,,,,,,,,92,90
M1_2021,48h,2021,d35581d9710745a8,M1,seq2seq_base,expanding,0.2369091260622571,0.5478208182428841,0.0,0.0167597765363128,0.6,0.5,0.4,0.6666666666666666,6.0,0.0,0.8,5.0,-0.3184269919109285,0.4923992813492137,0.4166793359624945,0.6429878844075656,0.1147058823529412,0.7999999999999999,0.0,0.0,,,,,,,,,92,90
M1_2022,48h,2022,57a92a301e7db750,M1,seq2seq_base,expanding,0.5379152324106431,0.485157656640792,0.2142857142857142,0.0062111801242236,0.0714285714285714,0.742857142857143,0.9285714285714286,0.6190476190476191,42.0,1.3333333333333333,1.6666666666666667,18.0,0.4023277217971422,0.6769379649122784,0.3434005650542797,0.6484875697314758,0.6026062978117773,0.8422855082912761,0.0856547619047619,0.3947368421052631,,,,,,,,,92,90
M1_2023,48h,2023,fe9f529380448eab,M1,seq2seq_base,expanding,0.2652096315741932,0.4682504176936199,0.1935483870967742,0.033003300330033,0.2631578947368421,0.56,0.7368421052631579,0.4516129032258064,62.0,1.28,1.68,25.0,0.0791901593162738,0.4320528359186182,0.3295453354326587,0.5873859062674232,0.4466273088613514,0.6666666666666666,0.1059514637904468,0.2963107638888889,,,,,,,,,92,90
M2_2017,48h,2017,6b72decd0e4eec90,M2,seq2seq_base,expanding,0.5550488767673118,0.6436185145766351,0.2068965517241379,0.0567164179104477,0.5588235294117647,0.4761904761904761,0.4411764705882353,0.5172413793103449,29.0,-0.6666666666666666,1.5,12.0,0.41887433538657,0.661256820392866,0.5314905051724743,0.7126389262882801,0.3027272727272727,0.6130978865406007,0.0740079365079365,0.3796101949025487,,,,,,,,,92,90
M2_2018,48h,2018,c59c7fb0e2bc27d6,M2,seq2seq_base,expanding,0.1132492716997767,0.3724883958288882,0.0454545454545454,0.0204678362573099,0.7777777777777778,0.1290322580645161,0.2222222222222222,0.0909090909090909,22.0,1.8666666666666667,1.8666666666666667,15.0,-0.0935370654969958,0.2309761214913872,0.2437293402222036,0.4752503348295832,0.0,0.3076923076923076,0.0,0.1430357142857143,,,,,,,,,92,90
